id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
1511,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,432,2026-01-21 20:00:01,2026-01-21 21:38:24,98,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,87.0,0.0,0.0,53.4,53.4,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1512,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,431,2026-01-19 20:00:01,2026-01-19 21:38:28,98,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,87.0,0.0,0.0,53.5,53.4,0.0,0.0,46.4,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1513,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,430,2026-01-17 20:00:01,2026-01-17 21:39:52,99,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,66.0,86.0,0.0,0.0,53.6,53.5,0.0,0.0,46.4,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1514,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,429,2026-01-15 20:00:01,2026-01-15 21:43:47,103,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,86.0,0.0,0.0,53.4,53.3,0.0,0.0,46.4,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1515,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,428,2026-01-13 20:00:01,2026-01-13 21:40:45,100,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,87.0,0.0,0.0,52.9,52.9,0.0,0.0,46.8,46.8,0.0,0.0,,,,,,,,,LEAD_ACID,
1516,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,427,2026-01-11 20:00:01,2026-01-11 21:41:43,101,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,86.0,0.0,0.0,53.3,53.3,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1517,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,426,2026-01-09 20:00:01,2026-01-09 21:42:23,102,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,87.0,0.0,0.0,52.8,52.7,0.0,0.0,46.7,46.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1518,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,425,2026-01-07 20:00:00,2026-01-07 21:43:29,103,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,87.0,0.0,0.0,53.1,53.1,0.0,0.0,46.6,46.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1519,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,424,2026-01-05 20:00:01,2026-01-05 21:42:45,102,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,87.0,0.0,0.0,53.2,53.2,0.0,0.0,46.9,46.9,0.0,0.0,,,,,,,,,LEAD_ACID,
1520,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,423,2026-01-03 20:00:01,2026-01-03 21:48:49,108,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,84.0,0.0,0.0,53.2,53.2,0.0,0.0,46.7,46.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1521,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,422,2026-01-01 20:00:01,2026-01-01 21:50:07,110,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,83.0,0.0,0.0,53.0,53.0,0.0,0.0,46.6,46.6,0.0,0.0,,,,,,,,,LEAD_ACID,
1522,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,421,2025-12-30 20:00:01,2025-12-30 21:52:33,112,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,66.0,81.0,0.0,0.0,53.2,53.2,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1523,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,420,2025-12-28 20:00:01,2025-12-28 21:53:04,113,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,81.0,0.0,0.0,53.0,53.0,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1524,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,419,2025-12-26 20:00:01,2025-12-26 21:50:59,110,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,66.0,81.0,0.0,0.0,53.1,53.1,0.0,0.0,46.4,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1525,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,418,2025-12-24 20:00:01,2025-12-24 21:53:57,113,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,81.0,0.0,0.0,52.9,52.9,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1526,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,417,2025-12-22 20:00:01,2025-12-22 21:51:00,110,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,68.0,81.0,0.0,0.0,53.2,53.1,0.0,0.0,46.4,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1527,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,416,2025-12-20 20:00:00,2025-12-20 21:50:09,110,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,68.0,80.0,0.0,0.0,53.1,53.1,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1528,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,415,2025-12-18 20:00:01,2025-12-18 21:56:11,116,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,79.0,0.0,0.0,53.0,53.0,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1529,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,414,2025-12-16 20:00:01,2025-12-16 21:57:18,117,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,79.0,0.0,0.0,53.0,53.0,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1530,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,413,2025-12-14 20:00:01,2025-12-14 21:56:41,116,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,79.0,0.0,0.0,53.2,53.2,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1531,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,412,2025-12-12 20:00:01,2025-12-12 21:47:53,107,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,70.0,80.0,0.0,0.0,53.3,53.3,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
