id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
18875,10.63.67.46,SHD._43hor_Altain2_191toot_MP25_ULN,1,2026-02-27 22:01:58,2026-02-28 01:02:00,180,SCHEDULED,MAX_TIME,100.0,,,,22.0,,,,53.54,,,,48.76,,,,46.62,,,,49.73,,,,LEAD_ACID,
18934,10.63.67.46,SHD._43hor_Altain2_191toot_MP25_ULN,2,2026-03-01 19:00:02,2026-03-01 22:00:03,180,SCHEDULED,MAX_TIME,100.0,,,,18.0,,,,53.57,,,,48.84,,,,50.15,,,,53.43,,,,LEAD_ACID,
18995,10.63.67.46,SHD._43hor_Altain2_191toot_MP25_ULN,3,2026-03-03 19:00:01,2026-03-03 22:00:02,180,SCHEDULED,MAX_TIME,100.0,,,,21.0,,,,53.57,,,,48.66,,,,53.89,,,,57.08,,,,LEAD_ACID,
19056,10.63.67.46,SHD._43hor_Altain2_191toot_MP25_ULN,4,2026-03-05 19:00:02,2026-03-05 22:00:04,180,SCHEDULED,MAX_TIME,100.0,,,,19.0,,,,53.57,,,,48.72,,,,57.51,,,,60.78,,,,LEAD_ACID,
19194,10.63.67.46,SHD._43hor_Altain2_191toot_MP25_ULN,5,2026-03-07 19:00:02,2026-03-07 22:00:04,180,SCHEDULED,MAX_TIME,100.0,,,,22.0,,,,53.52,,,,49.05,,,,61.25,,,,64.4,,,,LEAD_ACID,
19272,10.63.67.46,SHD._43hor_Altain2_191toot_MP25_ULN,6,2026-03-09 19:00:01,2026-03-09 22:00:04,180,SCHEDULED,MAX_TIME,100.0,,,,18.0,,,,53.6,,,,49.0,,,,64.91,,,,68.23,,,,LEAD_ACID,
