id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
18920,10.63.114.130,TUV.Sergelen_ZuunTavanTolgoi_Tulsh_SMP22,1,2026-03-01 10:00:01,2026-03-01 13:00:03,180,SCHEDULED,MAX_TIME,100.0,,,,28.0,,,,53.96,,,,49.19,,,,126.81,,,,129.71,,,,LEAD_ACID,
18981,10.63.114.130,TUV.Sergelen_ZuunTavanTolgoi_Tulsh_SMP22,2,2026-03-03 10:00:02,2026-03-03 13:00:04,180,SCHEDULED,MAX_TIME,100.0,,,,26.0,,,,53.85,,,,49.05,,,,129.93,,,,132.9,,,,LEAD_ACID,
19042,10.63.114.130,TUV.Sergelen_ZuunTavanTolgoi_Tulsh_SMP22,3,2026-03-05 10:00:01,2026-03-05 13:00:03,180,SCHEDULED,MAX_TIME,100.0,,,,27.0,,,,53.93,,,,49.07,,,,133.12,,,,136.08,,,,LEAD_ACID,
19181,10.63.114.130,TUV.Sergelen_ZuunTavanTolgoi_Tulsh_SMP22,4,2026-03-07 10:00:01,2026-03-07 13:00:02,180,SCHEDULED,MAX_TIME,100.0,,,,27.0,,,,53.82,,,,49.17,,,,136.25,,,,139.2,,,,LEAD_ACID,
19259,10.63.114.130,TUV.Sergelen_ZuunTavanTolgoi_Tulsh_SMP22,5,2026-03-09 10:00:01,2026-03-09 13:00:03,180,SCHEDULED,MAX_TIME,100.0,,,,26.0,,,,53.64,,,,49.26,,,,139.41,,,,142.38,,,,LEAD_ACID,
